station_id,name,latitude,longitude,line
1,KL Sentral,3.1348,101.6868,LRT Kelana Jaya
2,Masjid Jamek,3.1488,101.6942,LRT Kelana Jaya
3,KLCC,3.1578,101.7122,LRT Kelana Jaya
4,Ampang Park,3.1592,101.7167,LRT Ampang
5,Damai,3.1735,101.7258,LRT Ampang
6,Jelatek,3.1798,101.7342,LRT Ampang
7,Setiawangsa,3.1842,101.7425,LRT Ampang
8,Wangsa Maju,3.1886,101.7508,LRT Ampang
9,Sri Rampai,3.1930,101.7591,LRT Ampang
10,Ampang,3.1486,101.7617,LRT Ampang
11,Dang Wangi,3.1471,101.7000,LRT Kelana Jaya
12,Plaza Rakyat,3.1425,101.6958,LRT Ampang
13,Hang Tuah,3.1383,101.6925,LRT Ampang
14,Pudu,3.1333,101.6892,LRT Ampang
15,Chan Sow Lin,3.1258,101.6858,LRT Ampang
16,Miharja,3.1200,101.6825,LRT Ampang
17,Maluri,3.1142,101.6792,LRT Ampang
18,Pandan Indah,3.1058,101.6725,LRT Ampang
19,Pandan Jaya,3.0975,101.6658,LRT Ampang
20,Cempaka,3.0892,101.6592,LRT Ampang
